X,Al K12,Ba L1,Ca K12,Fe K12,Ni K12,Sn K12,Sn L1,Zn K12
489,0.03568408,0.034740746,0.098171882,0.807104287,0.051948474,0.180144428,0.009140589,0.076702882
490,0.031020439,0.033760895,0.065732882,1.775587105,0.059186237,0.150763141,0.009591596,0.122901838
532,0.0295083,0.038029414,0.068610743,0.496244398,0.04920154,0.169727956,0.003092849,0.044972543
533,0.035902054,0.007203648,0.021523804,0.445057658,0.044529003,0.128939495,0.00508322,0.061463386
541,0.035719751,0.042055646,0.158336139,1.134920878,0.044290043,0.149459766,0.014263414,0.059655352
542,0.023380826,0.045717864,0.04686603,0.612441939,0.071603779,0.147121758,0.004383905,0.088826262
543,0.031372782,0.025270866,0.04845815,0.331854983,0.047833075,0.133319443,0.005447077,0.099327301
544,0.043899568,0.025500196,0.024401726,0.676304433,0.06775206,0.152883484,0.005649274,0.116594743
545,0.020700485,0.03821262,0.051917769,0.491053583,0.088322071,0.210907014,0.004901494,0.075949367
546,0.033983024,0.021345489,0.09154354,0.247217856,0.048538196,0.175668029,0.006444514,0.057717699
547,0.0309529,0.018515632,0.037872884,0.524578411,0.050341324,0.129952308,0.00623422,0.06642561
548,0.050920564,0.021007229,0.028315827,0.42681417,0.064499381,0.135229043,0.006230281,0.058428851
549,0.033363309,0.018315348,0.056384892,0.680665468,0.048681055,0.134202638,0.004496403,0.038848921
550,0.033389687,0.02298589,0.037031016,0.66701346,0.052506665,0.110963001,0.005169387,0.077183172
551,0.027519592,0.021049754,0.082042403,0.330721098,0.053672316,0.119251564,0.008474576,0.095103578
569,0.022113669,0.024863252,0.182408518,0.457220581,0.047210928,0.129405915,0.009067774,0.061251353
593,0.02715216,0.048509469,0.173994862,2.487902503,0.05433419,0.17465201,0.008363702,0.148754406
605,0.031804048,0.041241613,0.028803666,0.410070373,0.098085211,0.154055971,0.008128307,0.059680323
606,0.041085913,0.028107929,0.072372124,0.622247972,0.054759146,0.142857143,0.009567952,0.06750538
607,0.056153622,0.048879837,9.70E+00,0.800310348,0.155659005,0.28532635,0.017360101,0.161284066
608,0.022793581,0.034062728,0.09318016,0.290335522,0.059372721,0.125273523,0.003026988,0.05404814
609,0.040719502,0.01996782,0.058583275,1.49960807,0.064194067,0.118693015,0.001361442,0.055530344
610,0.043967405,0.029250791,0.018973486,0.956823157,0.096813427,0.161882754,0.004317684,0.079664315
611,0.035137495,0.027880838,0.005456133,0.397697512,0.091663029,0.13569402,0.006874727,0.086370581
612,0.053029243,0.025745068,0.006925983,0.513782006,0.10675808,0.277179236,0.006995942,0.110256051
613,0.034022039,0.026446281,6.89E-05,0.649242424,0.109710744,0.246143251,0.005578512,0.087878788
614,0.039595281,0.034846769,0.10830259,5.604375936,0.051174343,0.154618841,0.007780253,0.087664828
622,0.02316855,0.033465683,0.027226319,0.369213316,0.066887735,0.152013613,0.006413892,0.055150748
666,0.027208729,0.043787399,0.078775079,0.588313974,0.061070046,0.144104189,0.006335797,0.064836325
3Ba90,0.040790712,0.036781369,0.152633964,0.546351497,0.067670746,0.156190078,0.01129589,0.12122163
3Bb1,0.062469184,0.032245341,0.083966078,0.804358545,0.078936988,0.251799625,0.016665023,0.133813233
3Bb3,0.047045377,0.042504556,0.108331017,1.078058876,0.051091959,0.148518827,0.012139746,0.075309672
3Bb4,0.022573432,0.033693944,0.100537894,0.617581289,0.04671824,0.210352955,0.010878762,0.0775414
3Bb5,0.032288294,0.020219231,0.084085875,0.600613392,0.050633271,0.138836826,0.00746862,0.059095814
3Bb6,0.036830126,0.039382026,0.097110146,1.231774605,0.062349128,0.175218981,0.015001035,0.180736603
3Bb7,0.043681477,0.032083093,0.088257357,1.023456434,0.047836122,0.139526832,0.011569533,0.088574726
3Bb8,0.041449434,0.017052165,0.091396146,0.500273641,0.043235303,0.150675462,0.007229887,0.069504854
1BlkThn,0.046696256,0.026598737,0.061511533,0.598924798,0.046352441,0.167000063,0.008876664,0.078764768
1Case2LG,0.039358813,0.022511606,0.11214926,0.734094426,0.047183859,0.124470787,0.009401734,0.085287162
1Case2SM,0.04451201,0.042839769,0.221678322,0.818607479,0.050714503,0.125296443,0.009090909,0.142018851
1LGGray,0.062417437,0.038309115,0.128892244,0.684563125,0.076476694,0.188526137,0.015474618,0.125967164
